Date,Price,Open,High,Low,Vol.,Change %,Pred,new
5-Sep-17,30226,30389,30421,30010,0.19K,0.17%,1158,250.9582139
6-Sep-17,30088,30200,30298,30055,12.40K,-0.46%,258,131.2668108
7-Sep-17,30287,30050,30348,30010,14.46K,0.66%,336,578.1198267
8-Sep-17,30271,30350,30470,30221,13.38K,-0.05%,238,170.4119652
11-Sep-17,29942,30187,30187,29888,12.58K,-1.09%,706,54.54021681
12-Sep-17,29953,29910,29977,29830,9.39K,0.04%,339,190.6061348
13-Sep-17,29896,30011,30077,29841,10.61K,-0.19%,384,121.434972
14-Sep-17,30020,29831,30059,29775,12.39K,0.41%,374,475.3368598
15-Sep-17,29869,30063,30096,29840,11.58K,-0.50%,471,62.24879357
18-Sep-17,29561,29845,29845,29550,10.85K,-1.03%,612,11.10981387
19-Sep-17,29628,29521,29690,29521,8.11K,0.23%,45,276.612547
20-Sep-17,29780,29660,29817,29660,8.42K,0.51%,83,277.6351989
21-Sep-17,29584,29620,29680,29450,13.18K,-0.66%,548,195.0465195
22-Sep-17,29608,29660,29767,29586,8.54K,0.08%,85,129.1345907
25-Sep-17,30065,29580,30150,29525,13.45K,1.54%,620,1121.430991
26-Sep-17,29885,30129,30195,29802,11.90K,-0.60%,754,150.0945239
27-Sep-17,29673,29861,29944,29644,10.37K,-0.71%,409,112.2934827
28-Sep-17,29624,29650,29706,29530,7.99K,-0.17%,372,150.5602438
29-Sep-17,29549,29615,29740,29430,7.49K,-0.25%,483,245.2534828
3-Oct-17,29400,29420,29456,29352,1.53K,-0.50%,196,84.17007359
4-Oct-17,29331,29479,29513,29258,0.23K,-0.23%,554,107.6362362
5-Oct-17,29412,29469,29469,29361,0.06K,0.28%,318,51.18759579
6-Oct-17,29510,29325,29540,29274,11.30K,0.33%,359,453.1444285
9-Oct-17,29670,29540,29718,29540,6.17K,0.54%,82,308.7833446
10-Oct-17,29768,29700,29798,29700,6.98K,0.33%,38,166.2243771
11-Oct-17,29659,29717,29770,29638,5.43K,-0.37%,147,74.09352858
12-Oct-17,29756,29725,29840,29692,6.88K,0.33%,79,179.3190085
13-Oct-17,29800,29750,29817,29660,7.31K,0.15%,393,207.7410654
16-Oct-17,29808,29809,29896,29790,5.77K,0.03%,-13,105.0640483
17-Oct-17,29565,29751,29751,29550,8.27K,-0.82%,432,15.10203046
18-Oct-17,29536,29640,29643,29504,5.08K,-0.10%,333,35.15075922
19-Oct-17,29654,29600,29669,29593,1.70K,0.40%,67,130.1566587
20-Oct-17,29541,29600,29622,29524,3.22K,-0.38%,164,39.05642867
23-Oct-17,29499,29502,29550,29364,7.21K,-0.14%,498,183.8551287
24-Oct-17,29498,29515,29537,29444,5.50K,0.00%,228,76.17056107
25-Oct-17,29362,29475,29475,29275,8.11K,-0.46%,574,87.59436379
26-Oct-17,29236,29375,29443,29211,8.37K,-0.43%,310,93.19855534
27-Oct-17,29272,29223,29299,29169,6.53K,0.12%,238,179.459049
30-Oct-17,29349,29263,29369,29204,4.82K,0.26%,302,251.8192371
31-Oct-17,29040,29300,29337,28958,5.80K,-1.05%,811,120.0732095
1-Nov-17,29120,29048,29260,28991,2.16K,0.28%,160,342.1969577
2-Nov-17,29242,29301,29318,29168,0.34K,0.42%,397,91.38055403
3-Nov-17,29191,29230,29456,29002,0.05K,-0.17%,608,417.9586235
6-Nov-17,29363,29130,29388,29130,7.66K,0.59%,208,493.0636457
7-Nov-17,29457,29349,29490,29333,8.21K,0.32%,139,265.6636894
8-Nov-17,29562,29451,29600,29438,7.90K,0.36%,125,273.6823833
9-Nov-17,29670,29530,29689,29466,9.36K,0.37%,377,364.5438811
10-Nov-17,29508,29640,29700,29468,9.68K,-0.55%,364,100.3149179
13-Nov-17,29619,29504,29636,29473,6.19K,0.38%,222,278.8074509
14-Nov-17,29620,29550,29660,29411,10.22K,0.00%,586,320.76944
15-Nov-17,29528,29600,29740,29512,9.84K,-0.31%,68,156.1236107
16-Nov-17,29491,29544,29555,29452,7.79K,-0.13%,251,50.13639142
17-Nov-17,29658,29462,29689,29361,9.90K,0.57%,569,527.3178706
20-Nov-17,29339,29700,29729,29268,10.65K,-1.08%,977,101.1183203
21-Nov-17,29334,29410,29425,29277,7.66K,-0.02%,365,72.28814428
22-Nov-17,29504,29341,29525,29280,7.80K,0.58%,386,409.8743169
23-Nov-17,29420,29475,29510,29393,5.78K,-0.28%,183,62.10747457
24-Nov-17,29375,29475,29500,29357,5.80K,-0.15%,247,43.08767926
27-Nov-17,29460,29450,29510,29402,6.55K,0.29%,152,118.2130467
28-Nov-17,29381,29450,29456,29359,5.80K,-0.27%,220,28.0726864
29-Nov-17,29215,29430,29441,29188,5.89K,-0.56%,527,38.23403453
30-Nov-17,28992,29287,29287,28927,6.54K,-0.76%,850,65.80893283
1-Dec-17,29217,29045,29344,29038,2.16K,0.78%,73,479.8862869
4-Dec-17,29059,29021,29200,28970,0.09K,-0.54%,101,268.706593
5-Dec-17,28893,29095,29170,28865,0.05K,-0.57%,441,103.29586
6-Dec-17,28972,28950,29039,28922,6.38K,0.27%,67,139.2022682
7-Dec-17,28670,28932,28932,28653,7.38K,-1.04%,592,17.1655324
8-Dec-17,28588,28650,28650,28500,8.42K,-0.29%,476,88.46315789
11-Dec-17,28429,28550,28573,28412,5.92K,-0.56%,287,40.09633254
12-Dec-17,28318,28432,28475,28271,7.58K,-0.39%,373,90.33914612
13-Dec-17,28377,28350,28445,28320,4.66K,0.21%,79,152.251589
14-Dec-17,28500,28434,28589,28421,6.63K,0.43%,29,234.4669786
15-Dec-17,28441,28474,28559,28395,5.54K,-0.21%,165,131.2656806
18-Dec-17,28663,28492,28683,28470,6.17K,0.78%,239,385.443941
19-Dec-17,28555,28656,28680,28535,5.95K,-0.38%,258,44.10162958
20-Dec-17,28617,28618,28658,28557,6.07K,0.22%,202,100.2122072
21-Dec-17,28596,28645,28665,28542,5.63K,-0.07%,294,74.23270969
22-Dec-17,28757,28560,28790,28560,6.08K,0.56%,164,428.5864846
26-Dec-17,28924,28796,28933,28778,4.33K,0.58%,191,283.7863646
27-Dec-17,29092,28890,29110,28888,5.16K,0.58%,192,425.5677098
28-Dec-17,29171,29150,29220,29099,5.06K,0.27%,176,142.2993917
29-Dec-17,29372,29202,29400,29134,6.93K,0.69%,414,438.1729938
1-Jan-18,29324,29332,29385,29275,1.58K,-0.16%,159,102.1841161
2-Jan-18,29392,29332,29463,29332,1.70K,0.23%,-11,191.2679667
3-Jan-18,29481,29385,29492,29385,0.19K,0.30%,85,203.3495661
4-Jan-18,29472,29365,29475,29276,0.20K,-0.03%,460,307.3322858
5-Jan-18,29465,29500,29550,29440,0.19K,-0.02%,120,75.09341033
8-Jan-18,29270,29235,29290,29176,5.90K,-0.66%,251,149.3672882
9-Jan-18,29173,29265,29278,29153,5.42K,-0.33%,251,33.08575447
10-Jan-18,29343,29155,29444,29123,10.83K,0.58%,215,511.4248875
11-Jan-18,29404,29338,29420,29315,5.81K,0.21%,142,171.3187788
12-Jan-18,29553,29425,29590,29425,9.23K,0.51%,91,293.717757
15-Jan-18,29763,29590,29785,29590,6.00K,0.71%,151,369.1400811
16-Jan-18,29830,29780,29860,29754,8.69K,0.23%,124,156.2707535
17-Jan-18,29761,29876,29884,29705,6.83K,-0.23%,446,64.33745161
18-Jan-18,29644,29702,29702,29501,9.53K,-0.39%,688,143.974306
19-Jan-18,29743,29615,29775,29600,5.95K,0.33%,156,303.8454392
22-Jan-18,29806,29701,29825,29701,5.52K,0.21%,86,229.4383691
23-Jan-18,29876,29836,29924,29752,7.02K,0.23%,328,212.7168594
24-Jan-18,30244,29907,30290,29879,11.08K,1.23%,403,753.0207504
25-Jan-18,30367,30310,30476,30185,9.88K,0.41%,448,349.7545801
29-Jan-18,30074,30285,30285,30004,8.63K,-0.96%,702,70.65557926
30-Jan-18,30052,30000,30197,29960,6.81K,-0.07%,67,289.7277704
31-Jan-18,30064,30085,30172,29976,5.48K,0.04%,307,175.5753936
1-Feb-18,30512,30125,30550,30050,1.81K,1.49%,649,894.687188
2-Feb-18,30399,30780,30817,30200,0.66K,-0.37%,1521,240.0656623
5-Feb-18,30286,30385,30498,30008,0.19K,-0.37%,1197,395.5394561
6-Feb-18,30182,30320,30650,30160,12.07K,-0.34%,34,352.3574271
7-Feb-18,29976,30219,30259,29950,8.73K,-0.68%,550,66.26824708
8-Feb-18,30103,29905,30147,29783,11.10K,0.42%,642,565.9109559
9-Feb-18,29999,30060,30110,29889,9.20K,-0.35%,512,160.8133427
12-Feb-18,30133,30102,30175,30017,6.40K,0.45%,329,189.6105873
13-Feb-18,30195,30170,30221,30091,3.53K,0.21%,315,155.4493038
14-Feb-18,30605,30220,30693,30066,12.87K,1.36%,913,1023.240371
15-Feb-18,30549,30612,30644,30501,7.63K,-0.18%,286,80.2250418
16-Feb-18,30785,30600,30811,30600,8.67K,0.77%,159,397.2756536
19-Feb-18,30715,30717,30777,30678,4.03K,-0.23%,92,97.11940153
20-Feb-18,30524,30668,30737,30505,9.25K,-0.62%,295,88.1445009
21-Feb-18,30459,30500,30516,30371,7.08K,-0.21%,418,104.4201376
22-Feb-18,30564,30450,30580,30380,6.53K,0.34%,378,315.2113232
23-Feb-18,30492,30497,30508,30426,5.14K,-0.24%,263,77.17787419
26-Feb-18,30518,30520,30620,30492,5.84K,0.09%,8,126.1091434
27-Feb-18,30306,30518,30597,30270,7.86K,-0.69%,489,115.3888999
28-Feb-18,30423,30319,30475,30277,5.12K,0.39%,220,302.9547842
1-Mar-18,30181,30307,30372,30111,1.47K,-0.80%,467,135.606755
2-Mar-18,30473,30445,30575,30400,0.15K,0.97%,106,203.4202303
5-Mar-18,30429,30400,30535,30310,0.18K,-0.14%,283,254.8833718
6-Mar-18,30568,30400,30669,30365,10.81K,0.46%,207,474.0323399
7-Mar-18,30461,30620,30639,30404,10.10K,-0.35%,527,76.44056703
8-Mar-18,30436,30491,30533,30390,7.75K,-0.08%,252,88.21645278
9-Mar-18,30408,30413,30474,30290,10.96K,-0.09%,421,179.7168042
12-Mar-18,30340,30380,30432,30284,7.37K,-0.22%,252,108.2736759
13-Mar-18,30387,30350,30409,30222,10.98K,0.15%,527,225.020945
14-Mar-18,30413,30399,30545,30364,9.56K,0.09%,22,195.2920893
15-Mar-18,30314,30456,30474,30288,8.33K,-0.33%,370,44.15966719
16-Mar-18,30251,30275,30364,30184,10.02K,-0.21%,227,156.3995494
19-Mar-18,30432,30222,30453,30129,11.62K,0.60%,561,537.2583889
20-Mar-18,30284,30393,30393,30220,9.13K,-0.49%,474,64.36637988
21-Mar-18,30464,30310,30539,30284,11.32K,0.59%,183,410.5156518
22-Mar-18,30506,30522,30615,30472,11.33K,0.14%,75,127.1595563
23-Mar-18,30901,30550,30947,30550,13.64K,1.29%,305,752.5612766
26-Mar-18,30889,30840,30915,30771,7.33K,-0.04%,299,193.5522082
27-Mar-18,30717,30871,30888,30685,9.46K,-0.56%,419,49.21169953
28-Mar-18,30518,30732,30750,30490,8.56K,-0.65%,522,46.23876681
29-Mar-18,30426,30482,30578,30403,3.20K,-0.30%,108,119.1323883
2-Apr-18,30961,30580,31080,30510,1.38K,1.76%,542,959.425762
3-Apr-18,30625,30893,30893,30552,0.33K,-1.09%,828,73.81477481
4-Apr-18,30886,30660,30972,30600,0.07K,0.85%,380,601.4768627
5-Apr-18,30505,31500,31500,30450,0.06K,-1.23%,2210,56.89655172
6-Apr-18,30605,30571,30650,30413,13.42K,0.33%,621,272.4962023
9-Apr-18,30675,30600,30693,30556,7.60K,0.23%,233,212.533545
10-Apr-18,30798,30613,30819,30585,8.76K,0.40%,276,420.6296224
11-Apr-18,31244,30820,31422,30820,18.12K,1.45%,246,1034.281895
12-Apr-18,30897,31176,31217,30857,13.21K,-1.11%,677,81.46666883
13-Apr-18,31005,30922,31075,30770,9.89K,0.35%,621,390.3293793
16-Apr-18,31167,31055,31227,31050,8.09K,0.52%,72,289.6669565
17-Apr-18,31257,31139,31280,31089,9.19K,0.29%,295,310.0321336
18-Apr-18,31410,31243,31483,31177,9.90K,0.49%,358,475.2868781
