Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend
HINDUNILVR,EQ,24-Apr-2018,1452.75,1464.0,1469.75,1445.7,1458.3,1459.65,1454.35,1218174,1771651519.9,33812,932837,76.58,4,2018,0.4749612803304215,Slight or No change
HINDUNILVR,EQ,25-Apr-2018,1459.65,1459.0,1463.0,1449.05,1463.0,1459.2,1454.79,504777,734343157.95,18593,359834,71.29,4,2018,-0.030829308395852184,Slight or No change
HINDUNILVR,EQ,26-Apr-2018,1459.2,1463.0,1498.6,1459.85,1488.15,1491.25,1479.86,1321586,1955766206.55,47695,829359,62.75,4,2018,2.1964089912280604,positive
HINDUNILVR,EQ,27-Apr-2018,1491.25,1491.25,1497.5,1469.9,1476.95,1473.95,1479.83,818770,1211639258.35,40416,451793,55.18,4,2018,-1.1601005867560743,Other
HINDUNILVR,EQ,30-Apr-2018,1473.95,1475.0,1513.55,1474.55,1502.0,1508.9,1500.69,612159,918659404.7,34625,324416,53.0,4,2018,2.3711794837002698,positive
HINDUNILVR,EQ,02-May-2018,1508.9,1512.0,1514.0,1464.65,1471.0,1471.95,1482.49,1047583,1553030023.35,48062,704071,67.21,5,2018,-2.4488037643316307,Other
HINDUNILVR,EQ,03-May-2018,1471.95,1465.6,1468.95,1441.6,1449.0,1452.2,1451.68,1243694,1805445601.75,42105,895199,71.98,5,2018,-1.3417575325248787,Other
HINDUNILVR,EQ,04-May-2018,1452.2,1455.0,1471.0,1447.65,1467.0,1464.2,1462.46,586841,858230112.4,19829,383948,65.43,5,2018,0.8263324610935152,Slight positive
HINDUNILVR,EQ,07-May-2018,1464.2,1472.4,1502.0,1465.0,1496.05,1497.9,1493.07,887065,1324452743.4,26194,518842,58.49,5,2018,2.3015981423302856,positive
HINDUNILVR,EQ,08-May-2018,1497.9,1494.0,1504.8,1478.5,1496.9,1496.05,1494.94,906975,1355869337.1,38121,619269,68.28,5,2018,-0.12350624207224659,Slight or No change
HINDUNILVR,EQ,09-May-2018,1496.05,1496.9,1511.0,1486.25,1498.0,1496.0,1498.62,759263,1137848881.1,36534,441072,58.09,5,2018,-0.0033421342869544013,Slight or No change
HINDUNILVR,EQ,10-May-2018,1496.0,1494.0,1506.85,1480.0,1484.85,1486.5,1492.6,932116,1391273954.45,25964,642019,68.88,5,2018,-0.6350267379679142,Other
HINDUNILVR,EQ,11-May-2018,1486.5,1489.0,1506.0,1485.1,1505.0,1504.1,1498.41,591179,885827140.7,34422,351744,59.5,5,2018,1.1839892364614801,positive
HINDUNILVR,EQ,14-May-2018,1504.1,1515.0,1521.2,1494.05,1504.35,1503.55,1503.4,1479249,2223907832.55,57907,735911,49.75,5,2018,-0.036566717638453206,Slight or No change
HINDUNILVR,EQ,15-May-2018,1503.55,1530.0,1542.4,1510.5,1516.2,1515.5,1524.08,3239290,4936934079.75,105652,1076819,33.24,5,2018,0.7947856739050962,Slight positive
HINDUNILVR,EQ,16-May-2018,1515.5,1509.0,1582.4,1506.6,1574.15,1574.1,1556.14,2420630,3766831617.25,108533,900725,37.21,5,2018,3.8667106565489773,among top gainers
HINDUNILVR,EQ,17-May-2018,1574.1,1574.1,1596.4,1560.25,1563.25,1569.8,1581.28,2082393,3292837716.05,72852,931418,44.73,5,2018,-0.2731719712851799,Slight or No change
HINDUNILVR,EQ,18-May-2018,1569.8,1563.3,1612.5,1563.3,1609.0,1605.8,1595.09,2041908,3257033460.7,65427,959619,47.0,5,2018,2.293285768887765,positive
HINDUNILVR,EQ,21-May-2018,1605.8,1613.0,1619.4,1573.05,1575.7,1578.65,1593.71,1510806,2407783886.3,50381,861173,57.0,5,2018,-1.6907460455847456,Other
